2025-08-18 16:33:13 - trading_system - ERROR - ERROR: 'status'
2025-08-18 17:10:54 - trading_system - INFO - Backtest completado para BNBUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:55 - trading_system - INFO - Backtest completado para BNBUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:55 - trading_system - INFO - Backtest completado para BNBUSDT: Return: -1.50%, Trades: 5, Win Rate: 80.0%
2025-08-18 17:10:55 - trading_system - INFO - Backtest completado para BNBUSDT: Return: -2.84%, Trades: 4, Win Rate: 25.0%
2025-08-18 17:10:55 - trading_system - INFO - Backtest completado para BNBUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:56 - trading_system - INFO - Backtest completado para BNBUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:56 - trading_system - INFO - Backtest completado para BNBUSDT: Return: 17.40%, Trades: 14, Win Rate: 78.6%
2025-08-18 17:10:56 - trading_system - INFO - Backtest completado para BNBUSDT: Return: -2.94%, Trades: 9, Win Rate: 33.3%
2025-08-18 17:10:56 - trading_system - INFO - Backtest completado para BNBUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:56 - trading_system - INFO - Backtest completado para BNBUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:56 - trading_system - INFO - Backtest completado para SOLUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:56 - trading_system - INFO - Backtest completado para XRPUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:56 - trading_system - INFO - Backtest completado para ADAUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:56 - trading_system - INFO - Backtest completado para LINKUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:56 - trading_system - INFO - Backtest completado para DOTUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:56 - trading_system - INFO - Backtest completado para AVAXUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:56 - trading_system - INFO - Backtest completado para DOGEUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:57 - trading_system - INFO - Backtest completado para DOGEUSDT: Return: -1.01%, Trades: 1, Win Rate: 0.0%
2025-08-18 17:10:57 - trading_system - INFO - Backtest completado para DOGEUSDT: Return: -14.27%, Trades: 2, Win Rate: 0.0%
2025-08-18 17:10:57 - trading_system - INFO - Backtest completado para DOGEUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:58 - trading_system - INFO - Backtest completado para ADAUSDT: Return: 3.02%, Trades: 3, Win Rate: 100.0%
2025-08-18 17:10:58 - trading_system - INFO - Backtest completado para ADAUSDT: Return: -4.91%, Trades: 3, Win Rate: 33.3%
2025-08-18 17:10:58 - trading_system - INFO - Backtest completado para ADAUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:58 - trading_system - INFO - Backtest completado para AVAXUSDT: Return: -2.69%, Trades: 2, Win Rate: 0.0%
2025-08-18 17:10:58 - trading_system - INFO - Backtest completado para AVAXUSDT: Return: 15.45%, Trades: 2, Win Rate: 100.0%
2025-08-18 17:10:59 - trading_system - INFO - Backtest completado para AVAXUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:10:59 - trading_system - INFO - Backtest completado para SOLUSDT: Return: -6.00%, Trades: 2, Win Rate: 0.0%
2025-08-18 17:10:59 - trading_system - INFO - Backtest completado para SOLUSDT: Return: 5.93%, Trades: 3, Win Rate: 100.0%
2025-08-18 17:10:59 - trading_system - INFO - Backtest completado para SOLUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:11:00 - trading_system - INFO - Backtest completado para XRPUSDT: Return: 0.13%, Trades: 2, Win Rate: 50.0%
2025-08-18 17:11:00 - trading_system - INFO - Backtest completado para XRPUSDT: Return: 9.88%, Trades: 3, Win Rate: 100.0%
2025-08-18 17:11:00 - trading_system - INFO - Backtest completado para XRPUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:11:00 - trading_system - INFO - Backtest completado para LINKUSDT: Return: 5.08%, Trades: 3, Win Rate: 33.3%
2025-08-18 17:11:00 - trading_system - INFO - Backtest completado para LINKUSDT: Return: -4.98%, Trades: 1, Win Rate: 0.0%
2025-08-18 17:11:01 - trading_system - INFO - Backtest completado para LINKUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
