ID,Timestamp_Open,Timestamp_Close,Ticker,Direction,Entry_Price,Exit_Price,Stop_Loss,Take_Profit,Score,Result,PnL_Percent,PnL_USD,Duration_Hours,Max_Favorable,Max_Adverse,Leverage,Position_Size
ATOM-USD_20250816_043253,2025-08-16T04:32:53.709653,2025-08-16T09:48:05.491934,ATOM-USD,LONG,4.48429012298584,4.5963973760604855,4.439447221755981,4.5963973760604855,5,TAKE_PROFIT,7.50,75.00,5.25,2.51,-0.33,3,3.0
ATOM-USD_20250816_043253,2025-08-16T04:32:53.709653,2025-08-16T09:48:18.741652,ATOM-USD,LONG,4.48429012298584,4.5963973760604855,4.439447221755981,4.5963973760604855,5,TAKE_PROFIT,7.50,75.00,5.26,2.51,-0.33,3,3.0
ATOM-USD_20250816_043253,2025-08-16T04:32:53.709653,2025-08-16T09:48:21.056868,ATOM-USD,LONG,4.48429012298584,4.5963973760604855,4.439447221755981,4.5963973760604855,5,TAKE_PROFIT,7.50,75.00,5.26,2.51,-0.33,3,3.0
ATOM-USD_20250816_043253,2025-08-16T04:32:53.709653,2025-08-16T09:48:22.287225,ATOM-USD,LONG,4.48429012298584,4.5963973760604855,4.439447221755981,4.5963973760604855,5,TAKE_PROFIT,7.50,75.00,5.26,2.51,-0.33,3,3.0
ATOM-USD_20250816_043253,2025-08-16T04:32:53.709653,2025-08-16T09:48:22.481978,ATOM-USD,LONG,4.48429012298584,4.5963973760604855,4.439447221755981,4.5963973760604855,5,TAKE_PROFIT,7.50,75.00,5.26,2.51,-0.33,3,3.0
ATOM-USD_20250816_043253,2025-08-16T04:32:53.709653,2025-08-16T09:48:28.525483,ATOM-USD,LONG,4.48429012298584,4.5963973760604855,4.439447221755981,4.5963973760604855,5,TAKE_PROFIT,7.50,75.00,5.26,2.51,-0.33,3,3.0
ATOM-USD_20250816_043253,2025-08-16T04:32:53.709653,2025-08-16T09:48:28.710574,ATOM-USD,LONG,4.48429012298584,4.5963973760604855,4.439447221755981,4.5963973760604855,5,TAKE_PROFIT,7.50,75.00,5.26,2.51,-0.33,3,3.0
ATOM-USD_20250816_043253,2025-08-16T04:32:53.709653,2025-08-16T09:48:28.933456,ATOM-USD,LONG,4.48429012298584,4.5963973760604855,4.439447221755981,4.5963973760604855,5,TAKE_PROFIT,7.50,75.00,5.26,2.51,-0.33,3,3.0
ATOM-USD_20250816_043253,2025-08-16T04:32:53.709653,2025-08-16T09:48:29.996399,ATOM-USD,LONG,4.48429012298584,4.5963973760604855,4.439447221755981,4.5963973760604855,5,TAKE_PROFIT,7.50,75.00,5.26,2.51,-0.33,3,3.0
ATOM-USD_20250816_043253,2025-08-16T04:32:53.709653,2025-08-16T09:48:39.961352,ATOM-USD,LONG,4.48429012298584,4.5963973760604855,4.439447221755981,4.5963973760604855,5,TAKE_PROFIT,7.50,75.00,5.26,2.51,-0.33,3,3.0
ATOM-USD_20250816_043253,2025-08-16T04:32:53.709653,2025-08-16T09:48:40.377563,ATOM-USD,LONG,4.48429012298584,4.5963973760604855,4.439447221755981,4.5963973760604855,5,TAKE_PROFIT,7.50,75.00,5.26,2.51,-0.33,3,3.0
ATOM-USD_20250816_043253,2025-08-16T04:32:53.709653,2025-08-16T09:48:42.891693,ATOM-USD,LONG,4.48429012298584,4.5963973760604855,4.439447221755981,4.5963973760604855,5,TAKE_PROFIT,7.50,75.00,5.26,2.51,-0.33,3,3.0
ATOM-USD_20250816_043253,2025-08-16T04:32:53.709653,2025-08-16T09:48:44.462679,ATOM-USD,LONG,4.48429012298584,4.5963973760604855,4.439447221755981,4.5963973760604855,5,TAKE_PROFIT,7.50,75.00,5.26,2.51,-0.33,3,3.0
ATOM-USD_20250816_043253,2025-08-16T04:32:53.709653,2025-08-16T09:48:45.520164,ATOM-USD,LONG,4.48429012298584,4.5963973760604855,4.439447221755981,4.5963973760604855,5,TAKE_PROFIT,7.50,75.00,5.26,2.51,-0.33,3,3.0
ATOM-USD_20250816_040228,2025-08-16T04:02:28.981208,2025-08-16T22:54:45.323507,ATOM-USD,LONG,4.4868292808532715,4.599000012874603,4.441960988044738,4.599000012874603,5,TAKE_PROFIT,7.50,75.00,18.87,2.52,-0.38,3,3.0
ATOM-USD_20250816_041741,2025-08-16T04:17:41.482223,2025-08-16T22:54:45.764183,ATOM-USD,LONG,4.487502574920654,4.599690139293671,4.442627549171448,4.599690139293671,5,TAKE_PROFIT,7.50,75.00,18.62,2.51,-0.40,3,3.0
FIL-USD_20250816_043254,2025-08-16T04:32:54.319799,2025-08-16T22:54:46.001895,FIL-USD,LONG,2.4811787605285645,2.5432082295417784,2.456366972923279,2.5432082295417784,6,TAKE_PROFIT,7.50,75.00,18.36,2.51,-0.58,3,3.0
ATOM-USD_20250816_040228,2025-08-16T04:02:28.981208,2025-08-16T22:54:54.837253,ATOM-USD,LONG,4.4868292808532715,4.599000012874603,4.441960988044738,4.599000012874603,5,TAKE_PROFIT,7.50,75.00,18.87,2.52,-0.38,3,3.0
ATOM-USD_20250816_041741,2025-08-16T04:17:41.482223,2025-08-16T22:54:55.361913,ATOM-USD,LONG,4.487502574920654,4.599690139293671,4.442627549171448,4.599690139293671,5,TAKE_PROFIT,7.50,75.00,18.62,2.51,-0.40,3,3.0
FIL-USD_20250816_043254,2025-08-16T04:32:54.319799,2025-08-16T22:54:55.614622,FIL-USD,LONG,2.4811787605285645,2.5432082295417784,2.456366972923279,2.5432082295417784,6,TAKE_PROFIT,7.50,75.00,18.37,2.51,-0.58,3,3.0
ATOM-USD_20250816_040228,2025-08-16T04:02:28.981208,2025-08-16T22:55:16.092679,ATOM-USD,LONG,4.4868292808532715,4.599000012874603,4.441960988044738,4.599000012874603,5,TAKE_PROFIT,7.50,75.00,18.88,2.52,-0.38,3,3.0
ATOM-USD_20250816_041741,2025-08-16T04:17:41.482223,2025-08-16T22:55:16.601244,ATOM-USD,LONG,4.487502574920654,4.599690139293671,4.442627549171448,4.599690139293671,5,TAKE_PROFIT,7.50,75.00,18.63,2.51,-0.40,3,3.0
FIL-USD_20250816_043254,2025-08-16T04:32:54.319799,2025-08-16T22:55:16.867085,FIL-USD,LONG,2.4811787605285645,2.5432082295417784,2.456366972923279,2.5432082295417784,6,TAKE_PROFIT,7.50,75.00,18.37,2.51,-0.58,3,3.0
ATOM-USD_20250816_040228,2025-08-16T04:02:28.981208,2025-08-16T22:55:17.982043,ATOM-USD,LONG,4.4868292808532715,4.599000012874603,4.441960988044738,4.599000012874603,5,TAKE_PROFIT,7.50,75.00,18.88,2.52,-0.38,3,3.0
ATOM-USD_20250816_041741,2025-08-16T04:17:41.482223,2025-08-16T22:55:18.590157,ATOM-USD,LONG,4.487502574920654,4.599690139293671,4.442627549171448,4.599690139293671,5,TAKE_PROFIT,7.50,75.00,18.63,2.51,-0.40,3,3.0
FIL-USD_20250816_043254,2025-08-16T04:32:54.319799,2025-08-16T22:55:18.901785,FIL-USD,LONG,2.4811787605285645,2.5432082295417784,2.456366972923279,2.5432082295417784,6,TAKE_PROFIT,7.50,75.00,18.37,2.51,-0.58,3,3.0
FIL-USD_20250816_043254,2025-08-16T04:32:54.319799,2025-08-16T22:55:19.164976,FIL-USD,LONG,2.4811787605285645,2.5432082295417784,2.456366972923279,2.5432082295417784,6,TAKE_PROFIT,7.50,75.00,18.37,2.51,-0.58,3,3.0
ATOM-USD_20250816_040228,2025-08-16T04:02:28.981208,2025-08-16T22:56:19.991432,ATOM-USD,LONG,4.4868292808532715,4.599000012874603,4.441960988044738,4.599000012874603,5,TAKE_PROFIT,7.50,75.00,18.9,2.53,-0.38,3,3.0
ATOM-USD_20250816_041741,2025-08-16T04:17:41.482223,2025-08-16T22:56:20.543936,ATOM-USD,LONG,4.487502574920654,4.599690139293671,4.442627549171448,4.599690139293671,5,TAKE_PROFIT,7.50,75.00,18.64,2.52,-0.40,3,3.0
FIL-USD_20250816_040229,2025-08-16T04:02:29.572565,2025-08-16T22:57:47.773349,FIL-USD,LONG,2.4822866916656494,2.5443438589572906,2.457463824748993,2.5443438589572906,6,TAKE_PROFIT,7.50,75.00,18.92,2.51,-0.62,3,3.0
FIL-USD_20250816_040229,2025-08-16T04:02:29.572565,2025-08-16T22:57:57.466249,FIL-USD,LONG,2.4822866916656494,2.5443438589572906,2.457463824748993,2.5443438589572906,6,TAKE_PROFIT,7.50,75.00,18.92,2.51,-0.62,3,3.0
FIL-USD_20250816_040229,2025-08-16T04:02:29.572565,2025-08-16T22:58:18.390233,FIL-USD,LONG,2.4822866916656494,2.5443438589572906,2.457463824748993,2.5443438589572906,6,TAKE_PROFIT,7.50,75.00,18.93,2.51,-0.62,3,3.0
FIL-USD_20250816_040229,2025-08-16T04:02:29.572565,2025-08-16T22:58:20.185200,FIL-USD,LONG,2.4822866916656494,2.5443438589572906,2.457463824748993,2.5443438589572906,6,TAKE_PROFIT,7.50,75.00,18.93,2.51,-0.62,3,3.0
FIL-USD_20250816_040229,2025-08-16T04:02:29.572565,2025-08-16T22:58:21.918642,FIL-USD,LONG,2.4822866916656494,2.5443438589572906,2.457463824748993,2.5443438589572906,6,TAKE_PROFIT,7.50,75.00,18.93,2.51,-0.62,3,3.0
